0ad a26-17
orc 0.4.40-1
orca 47.0-1
os-prober 1.81-2
osinfo-db 20240701-1
osm-gps-map 1.2.0-2
ostree 2024.7-4
p11-kit 0.25.5-1
pacman 7.0.0.r3.g7736133-1
pacman-contrib 1.10.6-2
pacman-mirrorlist 20240717-1
pam 1.6.1-3
pambase 20230918-2
pamixer 1.6-3
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.54.0-1
papirus-icon-theme 20240501-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
perl 5.40.0-1
perl-error 0.17029-7
perl-mailtools 2.21-9
perl-timedate 2.33-7
pfetch 1.4.0-1
pinentry 1.3.1-5
pipewire 1:1.2.4-1
pipewire-alsa 1:1.2.4-1
pipewire-audio 1:1.2.4-1
pipewire-jack 1:1.2.4-1
pipewire-pulse 1:1.2.4-1
pixman 0.43.4-1
pkcs11-helper 1.30.0-1
pkgconf 2.1.1-1
playerctl 2.4.1-4
polkit 125-1
poppler 24.09.0-2
poppler-data 0.4.12-2
poppler-glib 24.09.0-2
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-3
procps-ng 4.0.4-3
protobuf 28.1-1
protobuf-c 1.5.0-6
psmisc 23.7-1
ptex 2.4.3-1
pugixml 1.14-1
pybind11 2.13.6-1
pyside6 6.7.2-3
pystring 1.1.4-2
python 3.12.6-1
python-anyio 4.4.0-1
python-appdirs 1.4.4-10
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-beautifulsoup4 4.12.3-2
python-binaryornot 0.4.4-10
python-boolean.py 4.0-3
python-cachecontrol 1:0.14.0-3
python-cairo 1.27.0-1
python-certifi 2024.08.30-1
python-chardet 5.2.0-2
python-charset-normalizer 3.3.2-2
python-coverage 7.6.1-1
python-cssselect 1.2.0-6
python-dbus 1.3.2-4
python-debian 0.1.49-5
python-defusedxml 0.7.1-6
python-docopt 0.6.2-13
python-fastjsonschema 2.20.0-1
python-filelock 3.13.3-2
python-gobject 3.50.0-1
python-h11 0.14.0-4
python-httpcore 1.0.5-1
python-httpx 0.27.2-1
python-i3ipc 2.2.1-6
python-idna 3.8-1
python-iniconfig 2.0.0-5
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-jinja 1:3.1.4-1
python-keyutils 0.6-10
python-license-expression 30.3.0-1
python-lockfile 0.12.2-13
python-lxml 5.3.0-1
python-mako 1.3.5-1
python-markdown 3.7-1
python-markupsafe 2.1.5-2
python-more-itertools 10.3.0-1
python-mpd2 3.1.1-2
python-msgpack 1.0.5-2
python-musicbrainzngs 0.7.1-7
python-mutagen 1.47.0-2
python-natsort 8.4.0-2
python-numpy 2.1.1-1
python-opengl 3.1.7-1
python-ordered-set 4.1.0-5
python-packaging 24.1-1
python-pbr 6.1.0-1
python-pillow 10.4.0-1
python-platformdirs 4.2.2-1
python-pluggy 1.5.0-1
python-psutil 6.0.0-1
python-pydbus 0.6.0-11
python-pygments 2.18.0-1
python-pylast 5.3.0-1
python-pysdl2 0.9.16-1
python-pyserial 3.5-6
python-pytaglib 3.0.0-1
python-pytaglib-debug 3.0.0-1
python-pytest 1:8.3.3-1
python-pyxdg 0.28-3
python-requests 2.32.3-1
python-send2trash 1.8.2-2
python-setproctitle 1.3.3-2
python-setuptools 1:69.5.1-1
python-six 1.16.0-9
python-sniffio 1.3.1-3
python-soupsieve 2.6-1
python-tomli 2.0.1-4
python-tomlkit 0.13.2-1
python-tqdm 4.66.5-1
python-trove-classifiers 2024.9.12-1
python-typing_extensions 4.12.2-1
python-unidecode 1.3.8-2
python-urllib3 1.26.20-1
python-validate-pyproject 0.19-1
python-websocket-client 1.8.0-1
python-wheel 0.44.0-1
python-xlib 0.33-3
python-yaml 6.0.2-1
python-zstandard 0.22.0-2
qmmp 2.1.9-1
qpdf 11.9.1-1
qrencode 4.1.1-3
qt5-base 5.15.15+kde+r127-1
qt5-declarative 5.15.15+kde+r25-1
qt5-graphicaleffects 5.15.15-1
qt5-quickcontrols2 5.15.15+kde+r5-1
qt5-script 5.15.17-3
qt5-svg 5.15.15+kde+r5-1
qt5-tools 5.15.15+kde+r3-2
qt5-translations 5.15.15-1
qt5-x11extras 5.15.15-1
qt6-base 6.7.2-2
qt6-declarative 6.7.2-1
qt6-imageformats 6.7.2-1
qt6-svg 6.7.2-1
qt6-translations 6.7.2-1
radiotray-ng 0.2.8-4
radiotray-ng-debug 0.2.8-4
ragel 6.10-3
ranger 1.9.3-11
raptor 2.0.16-5
rasqal 1:0.9.33-7
rav1e 0.7.1-1
rawtherapee 1:5.11-1
readline 8.2.013-1
redland 1:1.0.17-9
reflector 2023-2
reuse 4.0.3-1
rhash 1.4.4-1
rhythmbox 3.4.7-2
rofi 1.7.5-3
rsync 3.3.0-2
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rtorrent 0.9.8-6
rubberband 3.3.0-2
run-parts 5.17-1
rust 1:1.81.0-1
rygel 1:0.44.0-1
samba 2:4.21.0-2
sane 1.3.1-1
sassc 3.6.2-5
sbc 2.0-2
scdoc 1.11.3-1
scenefx 0.1-2
scenefx-debug 0.1-2
scour 0.38.2-4
screenfetch 3.9.1-4
sddm 0.21.0-4
sdl2 2.30.7-1
sdl2_image 2.8.2-5
sdl2_ttf 2.22.0-1
seatd 0.8.0-2
sed 4.9-3
serd 0.32.2-1
shaderc 2024.2-1
shadow 4.16.0-1
shared-mime-info 2.4-1
shiboken6 6.7.2-3
shotwell 2:0.32.8-1
simple-scan 46.0-2
slang 2.3.3-3
slurp 1.5.0-1
smartmontools 7.4-2
smbclient 2:4.21.0-2
snapper 0.11.2-1
snappy 1.1.10-1
snapshot 47.0.1-2
sndio 1.10.0-1
sof-firmware 2024.06-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
spandsp 0.0.6-5
spdlog 1.14.1-3
speech-dispatcher 0.11.5-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.2-1
sqlite 3.46.1-1
sratom 0.6.16-1
srt 1.5.3-2
sshfs 3.7.3-2
startup-notification 0.12-8
steam 1.0.0.81-2
sudo 1.9.16-1
sushi 46.0-2
svt-av1 2.2.1-1
svt-hevc 1.5.1-3
sway-alttab-bin-debug 1.1.3-1
sway-interactive-screenshot 2.0.4-1
swaybg 1.2.1-1
swayfx 0.4-2
swayfx-debug 0.4-2
swayidle 1.8.0-2
swaylock-effects 1.7.0.0-4
swaylock-effects-debug 1.7.0.0-4
swayr-debug 0.27.4-1
sworkstyle 1.3.5-1
sworkstyle-debug 1.3.5-1
systemd 256.6-1
systemd-libs 256.6-1
systemd-numlockontty 0.1-14
systemd-sysvcompat 256.6-1
taglib 2.0.2-1
talloc 2.4.2-3
tar 1.35-2
tauon-music-box-debug 7.8.3-1
tcl 8.6.14-4
tdb 1.4.12-1
tdrop-git 0.5.0.r17.ge7d0cc9-1
tecla 47.0-1
tela-circle-icon-theme-manjaro 2024.04.19-2
tevent 1:0.16.1-3
texinfo 7.1.1-1
thunar 4.18.11-2
thunar-shares-plugin-debug 1:0.3.2-1
thunar-volman 4.18.0-3
tilda-git-debug 2.0.0.r0.g1dc7261-1
tilix 1.9.6-5
timeshift 24.06.3-1
tinysparql 3.8.0-1
tinyxml 2.6.2-11
tmux 3.4-10
tofi 0.9.1-2
tofi-debug 0.9.1-2
tokyonight-gtk-theme-git r76.95f659c7-1
totem 43.0-3
totem-pl-parser 3.26.6+r30+g51b8439-1
tpm2-tss 4.0.1-1
translate-shell 0.9.7.1-2
transmission-gtk 4.0.6-2
tree-sitter 0.23.0-1
tree-sitter-c 0.23.0-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-hack 3.003-7
ttf-jetbrains-mono-nerd 3.2.1-2
twolame 0.4.0-4
tzdata 2024b-2
uchardet 0.0.8-3
udiskie 2.5.3-1
udisks2 2.10.1-5
unibilium 2.1.1-2
unrar 1:7.0.9-1
unzip 6.0-21
upower 1.90.6-1
uptimed 0.4.6-4
usbmuxd 1.1.1-4
usbutils 017-1
usd 24.08-3
util-linux 2.40.2-1
util-linux-libs 2.40.2-1
uwufetch 2.1-2
v4l-utils 1.28.1-1
vala 0.56.17-1
vapoursynth R69-1
verdict 1.4.2-1
vid.stab 1.1.1-2
vifm 0.13-3
vim 9.1.0707-1
vim-runtime 9.1.0707-1
vlc 3.0.21-4
vmaf 3.0.0-1
volume_key 0.3.12-9
vscodium-bin 1.93.1.24256-1
vscodium-bin-debug 1.93.1.24256-1
vte-common 0.78.0-1
vte3 0.78.0-1
vte4 0.78.0-1
vulkan-headers 1:1.3.295-1
vulkan-icd-loader 1.3.295-1
vulkan-intel 1:24.2.3-1
vulkan-radeon 1:24.2.3-1
wavpack 5.7.0-1
waybar 0.11.0-3
waybar-mpris-git r53.485ec0e-1
waybar-mpris-git-debug r53.485ec0e-1
waybar-updates 0.5.0-1
wayland 1.23.1-1
wayland-protocols 1.37-1
wayvnc 0.8.0-2
webkit2gtk-4.1 2.46.0-1
webkitgtk-6.0 2.46.0-1
webrtc-audio-processing-1 1.3-3
wev 1.0.0-13
wget 1.24.5-3
which 2.21-6
wildmidi 0.4.6-1
wireless_tools 30.pre9-4
wireplumber 0.5.6-1
wl-clipboard 1:2.2.1-2
wl-clipboard-history-git r12.25bacd3-1
wlroots0.17 0.17.4-3
wlsunset 0.4.0-1
wmname 0.1-6
woff2 1.0.2-5
wofi 1.4.1-1
wpa_supplicant 2:2.11-2
wsdd 0.8-2
wxwidgets-common 3.2.6-1
wxwidgets-gtk3 3.2.6-1
x264 3:0.164.r3108.31e19f9-2
x265 3.6-1
xapp 2.8.5-1
xcb-proto 1.17.0-2
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-3
xcur2png 0.7.1-8
xcursor-simp1e-gruvbox-dark 20230817-3
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-gnome 47.1-1
xdg-desktop-portal-gtk 1.15.1-2
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.11-3
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xf86-input-libinput 1.4.0-2
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.17-3
xf86-video-vmware 13.4.0-3
xfconf 4.18.3-2
xkeyboard-config 2.42-1
xmlsec 1.3.5-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xcursorgen 1.0.8-2
xorg-xdpyinfo 1.3.4-2
xorg-xinit 1.4.2-2
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-2
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.2-1
xorg-xwininfo 1.1.6-2
xorgproto 2024.1-2
xplorer-bin-debug 0.3.1-2
xvidcore 1.3.7-3
xxhash 0.8.2-1
xz 5.6.2-1
yajl 2.1.0-6
yaml-cpp 0.8.0-2
yay 12.4.2-1
yay-debug 12.4.2-1
yelp 42.2-2
yelp-xsl 42.1-2
ymuse-bin-debug 0.21-2
yt-dlp 2024.08.06-1
yyjson 0.10.0-1
zbar 0.23.93-1
zenity 4.0.2-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3.1-2
zram-generator 1.1.2-1
zsh 5.9-5
zsh-theme-powerlevel10k-git r4290.d71edb83-1
zsh-theme-powerlevel10k-git-debug r4290.d71edb83-1
zstd 1.5.6-1
zvbi 0.2.42-1
zxing-cpp 2.2.1-1
zziplib 0.13.78-1
